rank,method,conf,nms_iou,merge_distance,n_images,mean_boxes,std_boxes,median_boxes,mean_area,mean_text_coverage,mean_overlap_ratio,mean_empty_boxes,mean_empty_ratio,mean_tiny_boxes,mean_tiny_ratio,mean_duplicates,total_duplicates,mean_time_ms,score
92,doclayout,0.40,0.50,15,18,6.22,3.70,5.50,121375.52,0.50,0.04,0.00,0.00,0.17,0.05,0.00,0,19236.41,47.73
93,doclayout,0.40,0.30,10,18,8.17,4.15,9.00,78543.81,0.49,0.03,0.00,0.00,0.33,0.06,0.00,0,16372.48,47.72
94,doclayout,0.40,0.30,5,18,10.89,5.45,11.00,52700.96,0.49,0.01,0.00,0.00,0.50,0.06,0.06,1,14984.14,47.70
95,doclayout,0.40,0.40,10,18,8.22,4.17,9.00,77960.34,0.49,0.03,0.00,0.00,0.33,0.06,0.00,0,16751.36,47.65
96,doclayout,0.40,0.40,5,18,10.94,5.54,11.00,52663.72,0.49,0.01,0.00,0.00,0.50,0.06,0.06,1,16505.82,47.63
97,doclayout,0.40,0.60,10,18,8.33,4.27,9.00,80656.32,0.50,0.05,0.00,0.00,0.33,0.06,0.06,1,17141.63,47.43
98,doclayout,0.40,0.50,10,18,8.28,4.21,9.00,77895.80,0.49,0.03,0.00,0.00,0.33,0.06,0.06,1,17090.58,47.37
99,doclayout,0.40,0.50,5,18,11.00,5.64,11.00,52746.12,0.49,0.01,0.00,0.00,0.50,0.06,0.11,2,20678.22,47.35
100,doclayout,0.40,0.60,5,18,11.11,5.79,11.00,53422.67,0.49,0.02,0.00,0.00,0.50,0.06,0.17,3,17491.20,47.25
101,yolo11,0.10,0.30,20,18,3.33,3.55,2.00,16583.79,0.12,0.01,0.00,0.00,0.17,0.06,0.00,0,210.22,11.22
102,yolo11,0.10,0.30,5,18,3.50,3.84,2.00,16136.16,0.12,0.01,0.00,0.00,0.17,0.06,0.00,0,253.26,11.19
103,yolo11,0.10,0.30,10,18,3.44,3.73,2.00,16268.61,0.12,0.01,0.00,0.00,0.17,0.06,0.00,0,209.64,11.19
104,yolo11,0.10,0.30,15,18,3.39,3.62,2.00,16413.71,0.12,0.01,0.00,0.00,0.17,0.06,0.00,0,212.84,11.19
105,yolo11,0.10,0.40,20,18,3.39,3.66,2.00,16499.05,0.12,0.01,0.00,0.00,0.17,0.06,0.00,0,219.78,11.13
106,yolo11,0.10,0.40,15,18,3.44,3.73,2.00,16328.97,0.12,0.01,0.00,0.00,0.17,0.06,0.00,0,212.64,11.11
107,yolo11,0.10,0.40,5,18,3.50,3.84,2.00,16183.87,0.12,0.01,0.00,0.00,0.17,0.06,0.00,0,211.06,11.11
108,yolo11,0.10,0.40,10,18,3.50,3.84,2.00,16183.87,0.12,0.01,0.00,0.00,0.17,0.06,0.00,0,213.42,11.11
109,yolo11,0.10,0.50,20,18,3.67,3.99,2.50,16240.23,0.12,0.03,0.00,0.00,0.17,0.05,0.00,0,225.02,10.62
110,yolo11,0.10,0.50,5,18,3.78,4.15,2.50,15922.29,0.12,0.03,0.00,0.00,0.17,0.05,0.00,0,213.19,10.59
111,yolo11,0.10,0.50,10,18,3.78,4.15,2.50,15922.29,0.12,0.03,0.00,0.00,0.17,0.05,0.00,0,227.51,10.59
112,yolo11,0.10,0.50,15,18,3.72,4.04,2.50,16070.15,0.12,0.03,0.00,0.00,0.17,0.05,0.00,0,221.52,10.59
113,yolo11,0.10,0.60,5,18,3.89,4.35,2.50,15856.43,0.12,0.03,0.00,0.00,0.17,0.05,0.00,0,213.38,10.47
114,yolo11,0.10,0.60,20,18,3.72,4.04,2.50,16266.63,0.12,0.04,0.00,0.00,0.17,0.05,0.06,1,265.94,10.28
115,yolo11,0.10,0.60,15,18,3.78,4.11,2.50,16118.70,0.12,0.03,0.00,0.00,0.17,0.05,0.06,1,209.84,10.25
116,yolo11,0.10,0.60,10,18,3.83,4.22,2.50,15970.84,0.12,0.03,0.00,0.00,0.17,0.05,0.06,1,208.09,10.25
117,yolo11,0.20,0.50,5,18,2.00,2.89,1.00,11197.34,0.07,0.01,0.00,0.00,0.06,0.01,0.00,0,223.86,6.69
118,yolo11,0.20,0.60,20,18,1.94,2.75,1.00,11365.88,0.07,0.01,0.00,0.00,0.06,0.01,0.00,0,218.86,6.69
119,yolo11,0.20,0.60,15,18,1.94,2.75,1.00,11365.88,0.07,0.01,0.00,0.00,0.06,0.01,0.00,0,218.35,6.69
120,yolo11,0.20,0.60,10,18,2.00,2.89,1.00,11197.34,0.07,0.01,0.00,0.00,0.06,0.01,0.00,0,215.35,6.69
121,yolo11,0.20,0.60,5,18,2.00,2.89,1.00,11197.34,0.07,0.01,0.00,0.00,0.06,0.01,0.00,0,233.14,6.69
122,yolo11,0.20,0.50,20,18,1.94,2.75,1.00,11365.88,0.07,0.01,0.00,0.00,0.06,0.01,0.00,0,229.18,6.69
123,yolo11,0.20,0.50,15,18,1.94,2.75,1.00,11365.88,0.07,0.01,0.00,0.00,0.06,0.01,0.00,0,225.62,6.69
124,yolo11,0.20,0.50,10,18,2.00,2.89,1.00,11197.34,0.07,0.01,0.00,0.00,0.06,0.01,0.00,0,215.23,6.69
125,yolo11,0.20,0.40,20,18,1.83,2.62,1.00,11060.47,0.07,0.00,0.00,0.00,0.06,0.01,0.00,0,234.43,6.54
126,yolo11,0.20,0.40,15,18,1.83,2.62,1.00,11060.47,0.07,0.00,0.00,0.00,0.06,0.01,0.00,0,218.88,6.54
127,yolo11,0.20,0.40,10,18,1.89,2.76,1.00,10891.92,0.07,0.00,0.00,0.00,0.06,0.01,0.00,0,216.93,6.54
128,yolo11,0.20,0.40,5,18,1.89,2.76,1.00,10891.92,0.07,0.00,0.00,0.00,0.06,0.01,0.00,0,208.31,6.54
